iter	MultiClass
0	1.079271525
1	1.060686869
2	1.042646821
3	1.026238777
4	1.011091838
5	0.9960229415
6	0.9824652099
7	0.9694937712
8	0.9560521152
9	0.9435623649
10	0.9317404968
11	0.9205105566
12	0.9100752249
13	0.900213724
14	0.8911730885
15	0.8818721666
16	0.8736486007
17	0.8655646718
18	0.8577239869
19	0.850292643
20	0.8430090626
21	0.8360524788
22	0.8292262946
23	0.8230307372
24	0.8163764018
25	0.8106279297
26	0.8046372586
27	0.7991121866
28	0.7937213917
29	0.7880119883
30	0.7825117545
31	0.7776638243
32	0.772710928
33	0.7681555273
34	0.7640041661
35	0.7599616527
36	0.7553818406
37	0.7515039993
38	0.7475784761
39	0.7443769805
40	0.7410182315
41	0.737883409
42	0.7338097212
43	0.7303295787
44	0.7271220904
45	0.7239926878
46	0.7210530454
47	0.7180410199
48	0.715244719
49	0.7122083174
50	0.7091144159
51	0.706485456
52	0.7036025252
53	0.7013384306
54	0.6985758804
55	0.6960329009
56	0.6935213669
57	0.690859972
58	0.6881442577
59	0.6860282338
60	0.6831838025
61	0.6810113073
62	0.6788208043
63	0.676478962
64	0.6742046542
65	0.6722677946
66	0.6703319343
67	0.6684845456
68	0.6667166127
69	0.6649751434
70	0.6632149971
71	0.6613524284
72	0.6594943462
73	0.6578252
74	0.656057017
75	0.654648188
76	0.6528831661
77	0.6510840326
78	0.6495815935
79	0.6479282401
80	0.6462802002
81	0.6446484745
82	0.6429885147
83	0.6415138763
84	0.6400789234
85	0.6386647055
86	0.6373914335
87	0.6361563822
88	0.6347091143
89	0.6329972074
90	0.6318112373
91	0.6307295496
92	0.6292264182
93	0.6281259326
94	0.627120536
95	0.6259256465
96	0.6247874692
97	0.6235973074
98	0.6222205956
99	0.62115815
100	0.6203452432
101	0.6191684177
102	0.6180076799
103	0.6169684377
104	0.615984882
105	0.6149213306
106	0.6137971853
107	0.6128459427
108	0.6118149583
109	0.6109123783
110	0.6099012571
111	0.6086749395
112	0.607616426
113	0.6067913293
114	0.6058811678
115	0.6049963566
116	0.6039926538
117	0.6030298631
118	0.6021830194
119	0.6009786434
120	0.6000613118
121	0.5993858826
122	0.5981982517
123	0.5970405223
124	0.5963061927
125	0.5953225553
126	0.5941249268
127	0.5934215848
128	0.5925911095
129	0.5919394177
130	0.5913476844
131	0.5905891253
132	0.5897527964
133	0.588912353
134	0.5880876687
135	0.5875525723
136	0.5870209659
137	0.586232521
138	0.5852904757
139	0.5846724049
140	0.5837428177
141	0.5826450551
142	0.5818363551
143	0.5809682092
144	0.5802817133
145	0.5794884844
146	0.5784586808
147	0.5776682379
148	0.5769042767
149	0.5760757644
150	0.5755167477
151	0.5747466597
152	0.5741681789
153	0.573183684
154	0.5724032872
155	0.5717954611
156	0.5712047306
157	0.5705051365
158	0.5700067041
159	0.5691392004
160	0.5683498195
161	0.5676974878
162	0.5672222957
163	0.5665256053
164	0.5660604274
165	0.5655308447
166	0.5649642816
167	0.5642842286
168	0.5635762565
169	0.5631376859
170	0.5623948293
171	0.5616857829
172	0.561340392
173	0.5608586858
174	0.5601394344
175	0.5594845148
176	0.558933891
177	0.5583459422
178	0.5576638531
179	0.5572154168
180	0.556376925
181	0.5557323137
182	0.5552702147
183	0.554893602
184	0.5544389814
185	0.5536923684
186	0.552908242
187	0.55252278
188	0.5519466618
189	0.5513300501
190	0.5505889975
191	0.5502095561
192	0.5497571508
193	0.5490700584
194	0.5484615769
195	0.5478698947
196	0.5473597798
197	0.546997558
198	0.5465017513
199	0.545991971
200	0.5453202255
201	0.544786805
202	0.5443610249
203	0.5438783982
204	0.5432882511
205	0.5428828303
206	0.5422552222
207	0.5417617863
208	0.5413759928
209	0.540714064
210	0.5403434381
211	0.5399916461
212	0.5392907717
213	0.5389243247
214	0.5384595866
215	0.537956929
216	0.5375770667
217	0.5371146048
218	0.5366658423
219	0.5362098306
220	0.53582192
221	0.5350777309
222	0.5345262526
223	0.5339159642
224	0.5332867669
225	0.5328292654
226	0.53224976
227	0.5316989349
228	0.5309844724
229	0.530655318
230	0.5299377285
231	0.5293481625
232	0.5286507275
233	0.5283092643
234	0.5278391396
235	0.5273702294
236	0.5268334272
237	0.5263741516
238	0.5258837809
239	0.5255474575
240	0.5253544775
241	0.5248211434
242	0.5242368019
243	0.5236635131
244	0.5232276331
245	0.5229610172
