iter	Passed	Remaining
0	31	38357
1	51	30877
2	63	25395
3	75	22666
4	87	21023
5	100	19900
6	112	19223
7	126	18808
8	138	18344
9	151	18038
10	164	17728
11	176	17472
12	188	17244
13	201	17047
14	213	16902
15	225	16723
16	239	16633
17	251	16489
18	263	16379
19	276	16327
20	289	16237
21	301	16139
22	314	16105
23	326	16012
24	339	15943
25	351	15885
26	365	15866
27	378	15832
28	391	15789
29	404	15767
30	416	15721
31	429	15694
32	444	15726
33	457	15700
34	470	15670
35	483	15621
36	496	15595
37	509	15572
38	522	15548
39	535	15538
40	547	15488
41	560	15447
42	572	15409
43	585	15377
44	598	15355
45	610	15315
46	623	15285
47	635	15243
48	648	15231
49	660	15191
50	672	15155
51	684	15121
52	697	15102
53	710	15067
54	722	15049
55	735	15018
56	747	14981
57	758	14944
58	771	14922
59	784	14899
60	801	14967
61	816	14987
62	829	14964
63	842	14950
64	855	14931
65	867	14909
66	880	14891
67	893	14878
68	907	14869
69	920	14857
70	933	14844
71	946	14820
72	959	14808
73	972	14796
74	984	14769
75	996	14741
76	1009	14725
77	1022	14708
78	1034	14681
79	1047	14664
80	1059	14643
81	1072	14621
82	1085	14603
83	1097	14586
84	1110	14564
85	1124	14565
86	1138	14560
87	1151	14549
88	1166	14559
89	1185	14616
90	1204	14675
91	1225	14753
92	1242	14788
93	1259	14822
94	1273	14810
95	1287	14805
96	1300	14785
97	1314	14779
98	1328	14774
99	1341	14760
100	1355	14747
101	1369	14740
102	1382	14720
103	1394	14695
104	1407	14674
105	1419	14653
106	1432	14633
107	1444	14608
108	1456	14583
109	1469	14557
110	1481	14536
111	1494	14515
112	1506	14492
113	1518	14469
114	1530	14443
115	1543	14420
116	1555	14398
117	1567	14376
118	1580	14360
119	1593	14338
120	1606	14323
121	1619	14310
122	1632	14298
123	1646	14286
124	1659	14271
125	1672	14254
126	1685	14239
127	1698	14222
128	1714	14230
129	1736	14291
130	1753	14308
131	1770	14324
132	1784	14318
133	1797	14300
134	1810	14284
135	1822	14260
136	1834	14237
137	1847	14214
138	1859	14192
139	1872	14174
140	1885	14158
141	1898	14146
142	1910	14121
143	1922	14098
144	1935	14079
145	1946	14055
146	1959	14033
147	1971	14013
148	1983	13994
149	1996	13973
150	2008	13953
151	2022	13941
152	2033	13918
153	2046	13901
154	2059	13882
155	2071	13860
156	2084	13845
157	2096	13824
158	2108	13806
159	2120	13783
160	2132	13764
161	2145	13745
162	2157	13727
163	2169	13705
164	2182	13687
165	2194	13667
166	2207	13654
167	2220	13638
168	2232	13621
169	2245	13604
170	2258	13590
171	2270	13572
172	2283	13553
173	2294	13532
174	2306	13510
175	2319	13494
176	2332	13478
177	2344	13458
178	2356	13440
179	2368	13421
180	2380	13404
181	2394	13393
182	2407	13379
183	2421	13368
184	2433	13353
185	2452	13372
186	2476	13413
187	2493	13422
188	2507	13415
189	2521	13404
190	2534	13390
191	2547	13373
192	2560	13361
193	2574	13350
194	2587	13333
195	2599	13315
196	2612	13301
197	2625	13285
198	2638	13269
199	2651	13255
200	2664	13243
201	2676	13225
202	2689	13210
203	2702	13196
204	2715	13180
205	2728	13166
206	2741	13149
207	2752	13128
208	2765	13113
209	2777	13095
210	2790	13079
211	2802	13062
212	2814	13041
213	2827	13025
214	2839	13009
215	2851	12990
216	2864	12976
217	2877	12960
218	2889	12943
219	2902	12928
220	2914	12909
221	2926	12891
222	2938	12873
223	2950	12853
224	2962	12837
225	2975	12821
226	2987	12805
227	2999	12787
228	3011	12769
229	3023	12751
230	3036	12735
231	3048	12718
232	3060	12700
233	3072	12682
234	3083	12663
235	3096	12647
236	3108	12629
237	3121	12616
238	3134	12605
239	3147	12589
240	3160	12577
241	3172	12558
242	3184	12543
243	3197	12528
244	3209	12511
245	3222	12498
246	3235	12483
247	3247	12466
248	3259	12449
249	3271	12433
250	3284	12418
251	3296	12402
252	3309	12385
253	3320	12368
254	3333	12353
255	3345	12336
256	3357	12319
257	3369	12302
258	3381	12287
259	3394	12273
260	3406	12256
261	3418	12240
