rowid,star_id,label_raw,period,period_err1,period_err2,t0_bjd,t0_bjd_err1,t0_bjd_err2,dur_h,dur_h_err1,dur_h_err2,depth_ppm,depth_ppm_err1,depth_ppm_err2,ror,ror_err1,ror_err2,rade_Re,a_over_rs,impact,ecc,incl_deg,insol_S,eqt_K,teff_K,logg_cgs,feh_dex,rad_Rs,mass_Ms,age_Gyr,ra_deg,dec_deg,mag_Kepler,label,label_int,period_err_mean,period_rel_err,period_missing,t0_bjd_err_mean,t0_bjd_rel_err,t0_bjd_missing,dur_h_err_mean,dur_h_rel_err,dur_h_missing,depth_ppm_err_mean,depth_ppm_rel_err,depth_ppm_missing,ror_err_mean,ror_rel_err,ror_missing,is_kepler,is_k2,is_tess,depth_from_ror_ppm,depth_consistency,dur_frac,depth_snr,dur_snr,ecc_flag,high_b,mag_T,dist_pc,pm_ra_masyr,pm_dec_masyr,pm_tot,a_over_rs_err1,a_over_rs_err2,a_over_rs_err_mean,a_over_rs_rel_err,a_over_rs_missing
1,10797460,CONFIRMED,9.48803557,2.775e-05,-2.775e-05,170.53875,0.00216,-0.00216,2.9575,0.0819,-0.0819,615.8,19.5,-19.5,0.022344,0.000832,-0.000528,2.26,24.81,0.146,0.0,89.66,93.59,793.0,5455.0,4.467,0.14,0.927,0.919,,291.93423,48.141651,15.347,Confirmed,2.0,2.775e-05,2.924736084226126e-06,0,0.00216,1.266574312289729e-05,0,0.0819,0.027692307692307693,0,19.5,0.03166612536537837,0,0.00068,0.03043322592194773,0.0,1,0,0,499.2543359999999,0.1892589542059111,0.012987848301950104,31.579487179487177,36.111111111111114,0.0,0.0,,,,,,,,,,
2,10797460,CONFIRMED,54.4183827,0.0002479,-0.0002479,162.51384,0.00352,-0.00352,4.507,0.116,-0.116,874.8,35.5,-35.5,0.027954,0.009078,-0.001347,2.83,77.9,0.586,0.0,89.57,9.11,443.0,5455.0,4.467,0.14,0.927,0.919,,291.93423,48.141651,15.347,Confirmed,2.0,0.0002479,4.555445930222399e-06,0,0.00352,2.1659693722085457e-05,0,0.116,0.02573774129132461,0,35.5,0.040580704160951074,0,0.0052125,0.1864670530156686,0.0,1,0,0,781.426116,0.10673740740740738,0.003450886581873126,24.642253521126758,38.853448275862064,0.0,0.0,,,,,,,,,,
3,10811496,CANDIDATE,19.89913995,1.494e-05,-1.494e-05,175.850252,0.000581,-0.000581,1.7822,0.0341,-0.0341,10829.0,171.0,-171.0,0.154046,5.034292,-0.042179,14.6,53.5,0.969,0.0,88.96,39.3,638.0,5853.0,4.544,-0.18,0.868,0.961,,297.00482,48.134129,15.436,Candidate,1.0,1.494e-05,7.507862167681272e-07,0,0.000581,3.3039474973285794e-06,0,0.0341,0.01913365503310515,0,171.0,0.015790931757318313,0,2.5382355,16.477126962076262,0.0,1,0,0,23730.170115999998,1.1913537829901188,0.0037317358197349296,63.32748538011696,52.26392961876833,0.0,1.0,,,,,,,,,,
4,10848459,FALSE POSITIVE,1.736952453,2.63e-07,-2.63e-07,170.307565,0.000115,-0.000115,2.40641,0.00537,-0.00537,8079.2,12.8,-12.8,0.387394,0.109232,-0.08495,33.46,3.278,1.276,0.0,67.09,891.96,1395.0,5805.0,4.564,-0.52,0.791,0.836,,285.53461,48.28521,15.597,False Positive,0.0,2.63e-07,1.514146225164403e-07,0,0.000115,6.752489239101035e-07,0,0.00537,0.002231539928773567,0,12.8,0.0015843152787404695,0,0.097091,0.25062597768679945,0.0,1,0,0,150074.111236,17.575367763639964,0.05772586529939593,631.1875,448.1210428305401,0.0,1.0,,,,,,,,,,
5,10854555,CONFIRMED,2.525591777,3.761e-06,-3.761e-06,171.59555,0.00113,-0.00113,1.6545,0.042,-0.042,603.3,16.9,-16.9,0.024064,0.003751,-0.001522,2.75,8.75,0.701,0.0,85.41,926.16,1406.0,6031.0,4.438,0.07,1.046,1.095,,288.75488,48.2262,15.509,Confirmed,2.0,3.761e-06,1.489155941292883e-06,0,0.00113,6.585252356485934e-06,0,0.042,0.025385312783318223,0,16.9,0.028012597381070776,0,0.0026365,0.10956200132978725,0.0,1,0,0,579.0760959999999,0.04015233548814862,0.027295583010603065,35.69822485207101,39.392857142857146,0.0,0.0,,,,,,,,,,
6,10872983,CONFIRMED,11.09432054,2.036e-05,-2.036e-05,171.20116,0.00141,-0.00141,4.5945,0.061,-0.061,1517.5,24.2,-24.2,0.036779,0.005115,-0.001065,3.9,16.36,0.538,0.0,88.11,114.81,835.0,6046.0,4.486,-0.08,0.972,1.053,,296.28613,48.22467,15.714,Confirmed,2.0,2.036e-05,1.8351732245875782e-06,0,0.00141,8.23592550424308e-06,0,0.061,0.013276743932963325,0,24.2,0.015947281713344315,0,0.00309,0.08401533483781505,0.0,1,0,0,1352.6948409999998,0.10860307018121926,0.017255450598329298,62.70661157024794,75.31967213114754,0.0,0.0,,,,,,,,,,
7,10872983,CONFIRMED,4.13443512,1.046e-05,-1.046e-05,172.97937,0.0019,-0.0019,3.1402,0.0673,-0.0673,686.0,18.7,-18.7,0.026133,0.001968,-0.002055,2.77,6.96,0.762,0.0,83.72,427.65,1160.0,6046.0,4.486,-0.08,0.972,1.053,,296.28613,48.22467,15.714,Confirmed,2.0,1.046e-05,2.5299707690176548e-06,0,0.0019,1.0983968781942032e-05,0,0.0673,0.021431755939112156,0,18.7,0.02725947521865889,0,0.0020115000000000003,0.07697164504649295,0.0,1,0,0,682.933689,0.0044698411078717805,0.031646806122009395,36.68449197860963,46.65973254086182,0.0,0.0,,,,,,,,,,
8,10872983,CONFIRMED,2.56658897,1.781e-05,-1.781e-05,179.55437,0.00461,-0.00461,2.429,0.165,-0.165,226.5,16.8,-16.8,0.014983,0.003935,-0.001417,1.59,5.54,0.755,0.0,82.17,807.74,1360.0,6046.0,4.486,-0.08,0.972,1.053,,296.28613,48.22467,15.714,Confirmed,2.0,1.781e-05,6.939171097583264e-06,0,0.00461,2.5674674473252865e-05,0,0.165,0.06792918896665295,0,16.8,0.07417218543046358,0,0.002676,0.17860241607154775,0.0,1,0,0,224.490289,0.008872896247240662,0.03943301187542052,13.482142857142856,14.721212121212119,0.0,0.0,,,,,,,,,,
9,6721123,FALSE POSITIVE,7.36178958,2.128e-05,-2.128e-05,132.25053,0.00253,-0.00253,5.022,0.136,-0.136,233.7,5.8,-5.8,0.183387,7.128076,-0.043131,39.21,2.4,1.169,0.0,60.92,767.22,1342.0,6227.0,3.986,0.0,1.958,1.358,,298.86435,42.151569,12.66,False Positive,0.0,2.128e-05,2.890601499642428e-06,0,0.00253,1.913035811652324e-05,0,0.136,0.027080844285145362,0,5.8,0.024818142918271287,0,3.5856035,19.552113835768075,0.0,1,0,0,33630.791768999996,142.9058269961489,0.028423795291361752,40.293103448275865,36.92647058823529,0.0,1.0,,,,,,,,,,
10,10910878,CONFIRMED,16.06864674,1.088e-05,-1.088e-05,173.621937,0.000517,-0.000517,3.5347,0.0241,-0.0241,4914.3,33.3,-33.3,0.062161,0.000913,-0.000428,5.76,36.85,0.052,0.0,89.92,30.75,600.0,5031.0,4.485,0.16,0.848,0.801,,286.99948,48.37579,15.841,Confirmed,2.0,1.088e-05,6.770949773210336e-07,0,0.000517,2.9777343170638626e-06,0,0.0241,0.006818117520581662,0,33.3,0.006776143092607288,0,0.0006705,0.010786506008590595,0.0,1,0,0,3863.9899210000003,0.21372526687422416,0.009165623530701047,147.5765765765766,146.66804979253112,0.0,0.0,,,,,,,,,,
